Date,Month,Channel 1 Views,Channel 1 Interactions,Channel 2 Views,Channel 2 Interactions,Site Visitors,,,,,,
10/7/14,2014-10,"370,000","7,000","3,200,000","10,000","15,500",,,,,,
10/8/14,2014-10,"340,000","7,000","4,500,000","14,000","16,500",,,,,,
10/9/14,2014-10,"340,000","7,000","4,700,000","13,000","16,400",,,,,,
10/10/14,2014-10,"300,000","6,000","3,800,000","14,000","15,400",,,,,,
10/11/14,2014-10,"240,000","4,000","4,300,000","19,000","11,700",,,,,,
10/12/14,2014-10,"260,000","5,000","4,300,000","19,000","12,200",,,,,,
10/13/14,2014-10,"410,000","10,000","5,100,000","19,000","18,700",,,,,,
10/14/14,2014-10,"360,000","8,000","4,900,000","19,000","17,800",,,,,,
10/15/14,2014-10,"350,000","7,000","4,900,000","14,000","16,300",,,,,,
10/16/14,2014-10,"310,000","7,000","4,900,000","10,000","14,600",,,,,,
10/17/14,2014-10,"280,000","5,000","3,700,000","10,000","12,600",,,,,,
10/18/14,2014-10,"230,000","4,000","2,800,000","10,000","10,000",,,,,,
10/19/14,2014-10,"270,000","4,000","3,200,000","10,000","9,600",,,,,,
10/20/14,2014-10,"290,000","6,000","4,300,000","11,000","14,600",,,,,,
10/21/14,2014-10,"320,000","6,000","4,700,000","10,000","15,100",,,,,,
10/22/14,2014-10,"290,000","6,000","3,900,000","8,000","14,100",,,,,,
10/23/14,2014-10,"280,000","5,000","6,700,000","14,000","14,100",,,,,,
10/24/14,2014-10,"260,000","5,000","9,200,000","44,000","14,800",,,,,,
10/25/14,2014-10,"220,000","4,000","11,100,000","75,000","17,600",,,,,,
10/26/14,2014-10,"280,000","4,000","10,600,000","70,000","17,800",,,,,,
10/27/14,2014-10,"290,000","5,000","158,900,000","190,000","30,000",,,,,,
10/28/14,2014-10,"230,000","4,000","16,200,000","77,000","23,700",,,,,,
10/29/14,2014-10,"230,000","4,000","17,200,000","79,000","23,900",,,,,,
10/30/14,2014-10,"190,000","4,000","154,500,000","180,000","32,300",,,,,,
10/31/14,2014-10,"160,000","3,000","15,000,000","58,000","19,700",,,,,,
11/1/14,2014-11,"140,000","2,000","7,300,000","49,000","15,100",,,,,,
11/2/14,2014-11,"150,000","3,000","9,200,000","59,000","17,400",,,,,,
11/3/14,2014-11,"230,000","5,000","31,300,000","48,000","19,900",,,,,,
11/4/14,2014-11,"270,000","6,000","32,400,000","52,000","19,900",,,,,,
11/5/14,2014-11,"390,000","6,000","32,200,000","53,000","21,300",,,,,,
11/6/14,2014-11,"360,000","5,000","34,300,000","61,000","20,700",,,,,,
11/7/14,2014-11,"290,000","4,000","33,900,000","57,000","18,100",,,,,,
11/8/14,2014-11,"220,000","3,000","9,700,000","50,000","16,500",,,,,,
11/9/14,2014-11,"250,000","4,000","9,900,000","51,000","17,200",,,,,,
11/10/14,2014-11,"330,000","5,000","10,800,000","51,000","21,900",,,,,,
11/11/14,2014-11,"290,000","4,000","15,300,000","55,000","22,400",,,,,,
11/12/14,2014-11,"250,000","5,000","14,300,000","44,000","20,000",,,,,,
11/13/14,2014-11,"220,000","4,000","16,200,000","62,000","23,100",,,,,,
11/14/14,2014-11,"190,000","4,000","101,200,000","150,000","85,300",,,,,,
11/15/14,2014-11,"230,000","3,000","13,900,000","50,000","16,300",,,,,,
11/16/14,2014-11,"290,000","3,000","13,900,000","50,000","16,600",,,,,,
11/17/14,2014-11,"390,000","4,000","15,200,000","54,000","19,700",,,,,,
11/18/14,2014-11,"250,000","4,000","14,800,000","53,000","21,300",,,,,,
11/19/14,2014-11,"240,000","4,000","15,200,000","51,000","19,400",,,,,,
11/20/14,2014-11,"220,000","4,000","25,800,000","120,000","52,900",,,,,,
11/21/14,2014-11,"210,000","3,000","27,700,000","140,000","54,700",,,,,,
11/22/14,2014-11,"180,000","3,000","30,000,000","180,000","67,600",,,,,,
